LE,SE,Net Profit,Gross Profit,Gross Loss,Total Trades,Pct Profitable,Winning Trades,Losing Trades,Avg Trade,Avg Winning Trade,Avg Losing Trade,Win/Loss Ratio,Max Consecutive Winners,Max Consecutive Losers,Avg Bars in Winner,Avg Bars in Loser,Max Intraday Drawdown,Profit Factor,Return on Account,Custom Fitness Value
3,6,1.2992e+06,6.4752e+06,-5.176e+06,143,37.7622,54,89,9085.31,119911,-58157.3,2.06184,6,12,12.8148,5.2809,-1.7726e+06,1.251,81.7313,0
3,7,1.0012e+06,6.2668e+06,-5.2656e+06,137,35.7664,49,88,7308.03,127894,-59836.4,2.13739,6,10,14.1224,5.34091,-1.809e+06,1.19014,61.5744,0
3,8,850200,6.1944e+06,-5.3442e+06,129,34.8837,45,84,6590.7,137653,-63621.4,2.16363,5,10,15.2,5.54762,-1.9006e+06,1.15909,49.1843,0
3,9,848800,6.1142e+06,-5.2654e+06,122,36.0656,44,78,6957.38,138959,-67505.1,2.0585,5,10,15.9318,5.55128,-1.7786e+06,1.1612,54.7189,0
3,10,690200,5.911e+06,-5.2208e+06,119,36.9748,44,75,5800,134341,-69610.7,1.92989,5,10,15.9545,5.6,-1.8132e+06,1.1322,42.4895,0
3,11,636600,5.7112e+06,-5.0746e+06,114,36.8421,42,72,5584.21,135981,-70480.6,1.92934,5,10,16.5952,5.76389,-1.9052e+06,1.12545,39.4131,0
3,12,631400,5.6224e+06,-4.991e+06,110,37.2727,41,69,5740,137132,-72333.3,1.89583,5,10,17.439,5.72464,-1.917e+06,1.12651,38.8076,0
3,13,536000,5.5222e+06,-4.9862e+06,106,37.7358,40,66,5056.6,138055,-75548.5,1.82737,5,8,17.425,6.15152,-1.9708e+06,1.1075,31.8896,0
3,14,351000,5.357e+06,-5.006e+06,105,36.1905,38,67,3342.86,140974,-74716.4,1.88678,5,8,17.4474,6.52239,-1.9748e+06,1.07012,20.8333,0
3,15,316800,5.2078e+06,-4.891e+06,103,36.8932,38,65,3075.73,137047,-75246.2,1.82132,6,8,17.5263,6.58462,-1.9974e+06,1.06477,18.5545,0
3,16,747600,5.3742e+06,-4.6266e+06,97,38.1443,37,60,7707.22,145249,-77110,1.88366,6,8,18.9189,6.55,-2.0402e+06,1.16159,42.7151,0
3,17,1.2674e+06,5.3664e+06,-4.099e+06,91,40.6593,37,54,13927.5,145038,-75907.4,1.91072,6,8,19.4324,6.85185,-1.7288e+06,1.3092,88.0873,0
3,18,1.8524e+06,5.576e+06,-3.7236e+06,84,42.8571,36,48,22052.4,154889,-77575,1.99663,6,8,19.7222,7.875,-1.7576e+06,1.49748,126.22,0
3,19,1.7232e+06,5.498e+06,-3.7748e+06,84,41.6667,35,49,20514.3,157086,-77036.7,2.0391,6,8,19.2571,8.44898,-1.8256e+06,1.4565,112.217,0
3,20,1.5162e+06,5.3118e+06,-3.7956e+06,82,39.0244,32,50,18490.2,165994,-75912,2.18666,4,13,19.125,9.38,-1.9096e+06,1.39946,93.6157,0
3,21,1.3412e+06,5.1882e+06,-3.847e+06,81,37.037,30,51,16558,172940,-75431.4,2.29268,6,13,19.4333,9.76471,-2.0076e+06,1.34864,78.0857,0
3,22,1.1138e+06,5.18e+06,-4.0662e+06,81,37.037,30,51,13750.6,172667,-79729.4,2.16566,6,13,19.4333,9.7451,-2.1868e+06,1.27392,61.1508,0
3,23,949000,5.1488e+06,-4.1998e+06,81,34.5679,28,53,11716,183886,-79241.5,2.32057,6,13,20.1429,9.71698,-2.2432e+06,1.22596,49.0237,0
3,24,872200,5.1272e+06,-4.255e+06,81,30.8642,25,56,10767.9,205088,-75982.1,2.69916,3,13,20.72,10.0179,-2.2636e+06,1.20498,44.5864,0
3,25,1.1024e+06,5.1232e+06,-4.0208e+06,78,32.0513,25,53,14133.3,204928,-75864.2,2.70125,3,10,20.76,10.5849,-2e+06,1.27417,65.1306,0
3,26,1.1654e+06,5.0916e+06,-3.9262e+06,77,31.1688,24,53,15135.1,212150,-74079.2,2.86383,3,10,20.375,10.9623,-1.8424e+06,1.29683,75.9218,0
3,27,1.1152e+06,5.0896e+06,-3.9744e+06,77,31.1688,24,53,14483.1,212067,-74988.7,2.82798,3,10,20.3333,10.9623,-1.8424e+06,1.2806,72.6515,0
3,28,1.232e+06,5.078e+06,-3.846e+06,72,34.7222,25,47,17111.1,203120,-81829.8,2.48223,3,10,23.28,10.2979,-1.8424e+06,1.32033,80.2606,0
3,29,1.1694e+06,5.072e+06,-3.9026e+06,72,33.3333,24,47,16241.7,211333,-83034,2.54514,3,10,24,10.2553,-1.8424e+06,1.29965,76.1824,0
3,30,1.1056e+06,5.0466e+06,-3.941e+06,72,31.9444,23,48,15355.6,219417,-82104.2,2.67243,3,10,24.5217,10.2917,-1.8424e+06,1.28054,72.0261,0
3,31,1.0414e+06,5.0434e+06,-4.002e+06,72,31.9444,23,49,14463.9,219278,-81673.5,2.68482,3,10,24.5652,10.0204,-1.8552e+06,1.26022,66.5431,0
3,32,939800,5.0358e+06,-4.096e+06,72,31.9444,23,49,13052.8,218948,-83591.8,2.61925,3,10,24.6087,9.93878,-1.9416e+06,1.22944,56.9093,0
3,33,872000,5.0246e+06,-4.1526e+06,72,30.5556,22,50,12111.1,228391,-83052,2.74997,3,10,23.4545,10.7,-1.9736e+06,1.20999,51.7999,0
3,34,857000,5.0246e+06,-4.1676e+06,72,30.5556,22,50,11902.8,228391,-83352,2.74008,3,10,23.4545,10.62,-1.9736e+06,1.20563,50.9089,0
3,35,776800,5.0246e+06,-4.2478e+06,72,30.5556,22,50,10788.9,228391,-84956,2.68834,3,10,23.4545,10.62,-1.9736e+06,1.18287,46.1447,0
3,36,776200,5.0246e+06,-4.2484e+06,71,30.9859,22,49,10932.4,228391,-86702,2.6342,3,10,23.4545,10.7347,-1.9836e+06,1.1827,45.8368,0
3,37,729000,5.0246e+06,-4.2956e+06,71,30.9859,22,49,10267.6,228391,-87665.3,2.60526,3,10,23.4545,10.6735,-2.0308e+06,1.16971,41.8821,0
3,38,971400,5.0246e+06,-4.0532e+06,68,32.3529,22,46,14285.3,228391,-88113,2.59202,3,9,23.4545,11.2391,-1.8326e+06,1.23966,62.9798,0
3,39,969400,5.0246e+06,-4.0552e+06,68,32.3529,22,46,14255.9,228391,-88156.5,2.59074,3,9,23.4545,11.2174,-1.8326e+06,1.23905,62.8501,0
3,40,938800,5.0246e+06,-4.0858e+06,68,32.3529,22,46,13805.9,228391,-88821.7,2.57134,3,9,23.4545,11.1957,-1.8544e+06,1.22977,60.0179,0
3,41,1.2658e+06,5.0246e+06,-3.7588e+06,65,33.8462,22,43,19473.8,228391,-87414,2.61275,3,9,23.4545,11.7442,-1.7298e+06,1.33676,89.0656,0
3,42,1.2528e+06,5.0246e+06,-3.7718e+06,65,33.8462,22,43,19273.8,228391,-87716.3,2.60375,3,9,23.4545,11.7442,-1.7298e+06,1.33215,88.1509,0
3,43,1.4814e+06,5.147e+06,-3.6656e+06,64,35.9375,23,41,23146.9,223783,-89404.9,2.50302,4,9,25.1304,10.4878,-1.7394e+06,1.40414,102.222,0
